ID,Name,QID,Score,Status,CreatedAt,Description
cmjwtn23i00056qvt25cav9oa,John Giannandrea,manual-john-giannandrea,6.5,pending,2026-01-02T11:59:36.798Z,Apple 高级副总裁，负责机器学习和 AI 战略 (Apple Intelligence)。
cmjwswgtl0000gelzb8c58cmk,梁文锋,local-liangwenfeng,5,pending,2026-01-02T11:38:56.170Z,DeepSeek (深度求索) 创始人，幻方量化 (High-Flyer) 创始人。从量化对冲基金领域跨界进入人工智能大模型领域，致力于打造中国最强的 AI 模型。
cmjwtiqg30001fvaezf7o7j54,Fidji Simo,manual-fidji-simo,5,pending,2026-01-02T11:56:15.075Z,OpenAI 应用程序 CEO (CEO of Applications) 兼董事会成员。曾任 Instacart CEO。
cmjwtir8e0002fvaehx5kwsfy,Andy Jassy,manual-andy-jassy,5,pending,2026-01-02T11:56:16.094Z,"Amazon CEO。AWS 的缔造者，全面掌舵亚马逊的生成式 AI 战略 (Bedrock, Amazon Q)。"
cmjtxdpzx000c5p080gws8vjg,凯文·斯科特,Q42416972,5,pending,2025-12-31T11:21:01.149Z,微软首席技术官 (CTO)，负责微软的技术愿景和战略规划。
cmjv6furu000nmfgh792b8quq,Ethan Mollick,Q109621287,5,ready,2026-01-01T08:22:23.370Z,The Wharton SchoolEmployee
cmjwtismz0004fvae3npd3avz,Cristiano Amon,manual-cristiano-amon,5,pending,2026-01-02T11:56:17.916Z,Qualcomm (高通) CEO。端侧 AI (On-device AI) 和 AI PC 的核心推动者。
cmjwtn0an00026qvtxgesov51,Arvind Krishna,manual-arvind-krishna,5,pending,2026-01-02T11:59:34.463Z,IBM 董事长兼 CEO。推动 IBM 转型为混合云和 AI 公司 (Watsonx)。
cmjwtis2t0003fvae8pm58dp0,Strive Masiyiwa,manual-strive-masiyiwa,5,pending,2026-01-02T11:56:17.190Z,Cassava Technologies 创始人。非洲数字基础设施教父，致力于建设非洲的主权 AI 云。
cmjwtn2pr00066qvtrraqb618,Ashok Elluswamy,manual-ashok-elluswamy,5,pending,2026-01-02T11:59:37.599Z,Tesla Autopilot 软件总监。FSD (全自动驾驶) 技术的核心负责人。
cmjwtmysd00006qvt0tru95pv,陈冕,manual-melvin-chen,5,pending,2026-01-02T11:59:32.510Z,Lovart AI 联合创始人兼 CEO。前字节跳动/剪映高管，LibLibAI 创始人。
cmjwtn1i000046qvtb4epssr5,Marc Benioff,manual-marc-benioff,5,pending,2026-01-02T11:59:36.024Z,Salesforce 创始人、董事长兼 CEO。企业级 AI Agent 的倡导者 (Agentforce)。
cmjwtn3xt00086qvtc8r110pn,Meredith Whittaker,manual-meredith-whittaker,5,pending,2026-01-02T11:59:39.185Z,Signal 总裁。AI 伦理学家，前 Google Open Research 创始人。
cmjwtn4ju00096qvt9ywin462,Lina Khan,manual-lina-khan,5,pending,2026-01-02T11:59:39.978Z,FTC (美国联邦贸易委员会) 主席。反垄断与 AI 监管的关键人物。
cmjxmgs83000011y3v2qj1z51,Boris Cherny,Q130788845,5,ready,2026-01-03T01:26:32.931Z,Claude Code 创建者，Anthropic 工程师。《Programming TypeScript》作者，前 Meta 工程师。
cmjvd32rz0000kvtppy47i5r3,妮基·帕尔玛,Q110864221,5,pending,2026-01-01T11:28:24.527Z,人工智能研究员
cmjvd3d5v0001kvtpdo7mjnhw,利昂·琼斯,Q136444778,5,pending,2026-01-01T11:28:37.987Z,Transformer论文共同作者，Sakana AI联合创始人兼CTO
cmjtv3m76000ji0044zdmrneg,Christopher Manning,Q22826132,5,ready,2025-12-31T10:17:10.434Z,计算机科学家
cmjtv341v000fi004vikj06xr,Oriol Vinyals,Q47030267,5,ready,2025-12-31T10:16:46.915Z,机器学习研究员
cmjv6furu0002mfghwo1rtgy3,Kevin Weil,BAIKE_Kevin Weil,5,pending,2026-01-01T08:22:23.370Z,"OpenAIVP, OpenAI for Science"
cmjtv3hfy000ii0041pbzgdg1,Percy Liang,Q55395315,5,ready,2025-12-31T10:17:03.853Z,计算机科学家
cmjvfbf9f0001lqwqebtiu8qm,亚历克斯·克里泽夫斯基,Q28018607,5,pending,2026-01-01T12:30:53.187Z,"‪Alex Krizhevsky‬ - ‪Google Scholar‬
Loading...
The system can&#39;t perform the operation now. Try again later.
[](javascript:void(0))## Citations per year
[](javascript:void(0))## Duplicate citations
The following articles are merged in Scholar. Their[combined citations](javascript:void(0))are counted only for the first article.
[](javascript:void(0))## Merged citations
This ""Cited by"" count includes citations to the following articles in Scholar. The ones marked\*may be different from the art"
cmjv6furu0006mfghaj1b1v4a,James Manyika,Q105842353,5,ready,2026-01-01T08:22:23.370Z,GoogleEmployee
cmjv6furu0007mfghx9at95m7,Marian Croak,Q57646385,5,ready,2026-01-01T08:22:23.370Z,"Marian Croak - Wikipedia
[Jump to content](#bodyContent)
[![](https://en.wikipedia.org/static/images/icons/wikipedia.png)![Wikipedia](https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg)![The Free Encyclopedia](https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-tagline-en.svg)](https://en.wikipedia.org/wiki/Main_Page)
[Search](https://en.wikipedia.org/wiki/Special:Search)
Search
# Marian Croak
6 languages
* [Deutsch](https://de.wikipedia.org/wiki/Mari"
cmjvd3qrm0002kvtppziawz5i,塞巴斯蒂安·布贝克,Q110407022,5,pending,2026-01-01T11:28:55.618Z,机器学习研究员
cmjtxcatd00025p08uv2ks3h0,李莲,Q132560483,5,ready,2025-12-31T11:19:54.466Z,2014年印第安纳大学博士
cmjtv2pq7000bi0044hykxl36,Emad Mostaque,Q114049362,5,ready,2025-12-31T10:16:28.351Z,Stability AI 联合创始人
cmjtxd3ym00085p08timmi73e,乔尔·皮诺,Q44741969,5,ready,2025-12-31T11:20:32.237Z,加拿大计算机科学家
cmjtwkuo5000bopf37qiylene,朱军,Q9191429,5,ready,2025-12-31T10:58:34.182Z,清华大学计算机系教授，清华大学人工智能研究院基础理论研究中心主任。北京生数科技首席科学家。主要研究机器学习、贝叶斯方法。
cmjvfeze2000dlqwqj9m3tchp,苏姿丰,Q18207172,5,pending,2026-01-01T12:33:39.242Z,美国商业高管和电气工程师
cmjtwkyvn000dopf3z5lk40sa,黄铁军,Q108886164,5,pending,2025-12-31T10:58:39.636Z,北京大学计算机学院教授，北京智源人工智能研究院（BAAI）院长。主要研究方向为视觉信息处理和类脑智能。
cmjtv2h8i0009i0048zkgoqwc,Alexandr Wang,Q112629173,5,ready,2025-12-31T10:16:16.955Z,Scale AI 创始人兼首席执行官
cmjtszhu8000b3estb17k2kqb,Shane Legg,Q22278829,5,ready,2025-12-31T09:17:58.928Z,机器学习研究员
cmjwtmzop00016qvt8260yrem,Haofan Wang,manual-haofan-wang,5,pending,2026-01-02T11:59:33.674Z,Lovart AI 联合创始人兼 CTO。InstantID 核心开发者，CMU 学者。
cmjtsyroa00093estgaoeadqk,Daniela Amodei,Q119721378,5,ready,2025-12-31T09:17:25.018Z,Anthropic公司总裁兼联合创始人
cmjtwl0va000eopf34mek0zrk,丁洁,Q10864344,5,pending,2025-12-31T10:58:42.214Z,明尼苏达大学统计学院副教授，研究领域涵盖生成式AI、Agentic AI及AI安全性。MorphMind联合创始人。
cmjvfb5w00000lqwqatt1bmoy,吉滕德拉·马利克,Q6203258,5,pending,2026-01-01T12:30:41.040Z,"# Jitendra Malik

Arthur J. Chick Professor of EECS
University of California at Berkeley
CA 94720-1776
Email: malik@berkeley.edu
[Prospective graduate students-you do not need to\
contact me. Follow this link instead.](http://www.eecs.berkeley.edu/Prospective/grad.shtml)

## Office: Berkeley Way West

## [Brief Bio](https://people.eecs.berkeley.edu/~malik/malik-bio.html)

## [Curriculum Vitae](https://people.eecs.berkeley.edu/~malik/malik-cv-full.pdf)

## [Google Scholar](https://scholar.google."
cmjvfedau000blqwq5jiqakh8,拉里·佩奇,Q4934,5,pending,2026-01-01T12:33:10.614Z,美国计算机科学家和互联网企业家（生于1973年）
cmjvfbq760002lqwqcy5xe0w1,纳特·弗里德曼,Q92955,5,pending,2026-01-01T12:31:07.030Z,美国计算机程序员
cmjtv3tsv000li004co65fad9,Hyung Won Chung,Q103241185,5,ready,2025-12-31T10:17:19.871Z,博士，麻省理工学院，2019年
cmjtv37mu000gi004uo73uum0,Quoc Le,Q29043123,5,ready,2025-12-31T10:16:51.559Z,机器学习研究员
cmju0f9ip0000f8yv7tv455kv,肖弘,Q-XIAO-HONG-PLACEHOLDER,5,pending,2025-12-31T12:46:11.954Z,"Founder and CEO of Manus AI, previously founded Nightingale Technology and Butterfly Effect Technology. Acquired by Meta."
cmjvfch1g0005lqwqcosahs9s,何凯明,Q6347329,5,pending,2026-01-01T12:31:41.791Z,ResNet作者，MIT教授，前Meta AI研究员，计算机视觉领域顶级研究员
cmjv6furu000omfghlc37bleh,Santiago Valdarrama,BAIKE_Santiago Valdarrama,5,pending,2026-01-01T08:22:23.370Z,Santiago Valdarrama是AI领域的知名技术博主和导师，以其在机器学习工程实践与教育方面的贡献而闻名。
cmjtwkqqg0009opf3c1r9t5xj,刘知远,Q708522,5,pending,2025-12-31T10:58:29.080Z,清华大学 NLP
cmjtxdvoh000d5p08r4ygmu04,埃里克·霍维茨,Q5386755,5,ready,2025-12-31T11:21:08.160Z,美国计算机科学家
cmjvd4xy80006kvtpy8bk3cwm,汤晓鸥,Q64144986,5,pending,2026-01-01T11:29:51.584Z,商汤科技（SenseTime）创始人，香港中文大学信息工程系教授。计算机视觉领域的著名科学家，浦江实验室主任。于2023年逝世。
cmjtxc0fm00005p08usgwkddl,Wojciech Zaremba,Q27733815,5,ready,2025-12-31T11:19:41.362Z,波兰数学家与计算机科学家
cmjv6furu000dmfghyv96kktn,Chamath Palihapitiya,Q16734050,5,ready,2026-01-01T08:22:23.370Z,FacebookEmployee
cmjvd42bl0003kvtpyayxr48b,斯图尔特·罗素,Q7627055,5,pending,2026-01-01T11:29:10.593Z,UC Berkeley教授，AI安全领域权威，《人工智能：现代方法》作者
cmjvg0fes0001tu91i6wz8zno,贾佳亚,Q110258687,5,pending,2026-01-01T12:50:19.781Z,香港中文大学终身教授，思谋科技（SmartMore）创始人兼董事长。计算机视觉与人工智能专家，IEEE Fellow。
cmjtxe137000e5p08x4puluzz,布莱恩·卡坦扎罗,Q102502403,5,ready,2025-12-31T11:21:15.524Z,机器学习工程师
cmjvfenx6000clqwquxw71e7f,谢尔盖·布林,Q92764,5,pending,2026-01-01T12:33:23.894Z,美国亿万富翁商人（生于1973年）
cmjtv3pwq000ki004fsebecez,Jason Wei,Q102403980,5,ready,2025-12-31T10:17:15.243Z,苏黎世联邦理工学院理学博士 2012年
cmjv6furu0003mfgha0mzdgpj,Cat Wu,BAIKE_Cat Wu,5,pending,2026-01-01T08:22:23.370Z,Cat Wu（吴翼）是斯坦福大学博士，以在具身智能和多智能体协作领域的研究闻名，其工作推动了AI在复杂物理环境中进行规划与交互的能力。
cmjtxcp4w00055p0854gyxgh2,贾里德·卡普兰,Q102649624,5,ready,2025-12-31T11:20:13.027Z,人工智能研究员
cmjvmtm8d0000diinatn54gfd,罗福莉,CUSTOM_LuoFuLi,5,pending,2026-01-01T16:00:59.341Z,小米MiMo大模型负责人，前DeepSeek核心开发者，北大计算语言学硕士
cmjv6furu000kmfgha9aias1i,Amanda Askell,Q115661373,5,ready,2026-01-01T08:22:23.370Z,University of OxfordStudent
cmjvd4npl0005kvtp6nhbtxpn,沈向洋,Q16905622,5,pending,2026-01-01T11:29:37.964Z,"- [首页](https://www2.scut.edu.cn/ft/main.htm)
- [学院概况](https://www2.scut.edu.cn/ft/29753/list.htm)
 - [学院简介](https://www2.scut.edu.cn/ft/29762/list.htm)
 - [学院标识](https://www2.scut.edu.cn/ft/xybs/list.htm)
 - [常设机构](https://www2.scut.edu.cn/ft/29763/list.htm)
 - [行政服务](https://www2.scut.edu.cn/ft/29764/list.htm)
 - [党建工作](https://www2.scut.edu.cn/ft/29769/list.htm)
 - [实验室建设](https://www2.scut.edu.cn/ft/29774/list.htm)
- [队伍与研究](https://www2.scut.edu.cn/ft/29754/list.htm)
 - [师资队伍](https://www2.scut.edu.cn/ft/29778/list.htm)
 - [科学研究](https://www2.scut.edu.cn/ft/29783/list.htm)
- [招生与培养](https://www2.scut.edu.cn/ft/29755/list.htm)
 - [本科生招生与培养](https://www2.scut.edu.cn/ft/bkspy2/list.htm)
 - [研究生招生与培养](https://www2.scut.edu.cn/ft/30261/list.htm)
 - [学生工作](https://www2.scut.edu.cn/ft/29809/l"
cmjwtipll0000fvaejh6rd1u4,Matthew Prince,manual-matthew-prince,5,pending,2026-01-02T11:56:13.978Z,Cloudflare 联合创始人兼 CEO。致力于构建全球 AI 基础设施 (Workers AI) 和网络安全网络。
cmjv6furu000rmfghqtakiwi7,Rachel Thomas,Q65951813,5,pending,2026-01-01T08:22:23.370Z,Answer.AI研究员
cmjvffui1000glqwqx3qm885m,吉多·范罗苏姆,Q30942,5,pending,2026-01-01T12:34:19.562Z,荷兰程序员，Python语言创始人
cmjvfbygb0003lqwq52xfghrn,丹尼尔·格罗斯,Q104678229,5,pending,2026-01-01T12:31:18.060Z,AI投资人，前Y Combinator合伙人，Apple机器学习总监
cmjvkslg00000ilnij9kg2zz2,Daniel Gross,Q19364797,5,pending,2026-01-01T15:04:12.433Z,商人
cmjtxcx2r00075p08egm5tuq9,科拉伊·卡武克丘奥卢,Q29221954,5,ready,2025-12-31T11:20:23.667Z,土耳其机器学习科学家（生于2000年）
cmjvd4dfw0004kvtp4osum05g,马克斯·泰格马克,Q2076321,5,pending,2026-01-01T11:29:25.004Z,瑞典裔美国物理学家和宇宙学家
cmjtv2cix0008i004kejjlxya,Guillaume Lample,Q56101409,5,ready,2025-12-31T10:16:11.241Z,法国研究员
cmjv6furu0008mfghimpelg81,Han Xiao,Q102394475,5,ready,2026-01-01T08:22:23.370Z,University of ChicagoStudent
cmjv6furu000gmfgh2tkuh8xm,Aakash Gupta,Q59545063,5,ready,2026-01-01T08:22:23.370Z,Northwestern UniversityStudent
cmjv6furu0005mfghkppozqo8,Zoubin Ghahramani,Q8074621,5,ready,2026-01-01T08:22:23.370Z,Carnegie Mellon UniversityEmployee
cmjvd5pu90009kvtp9ovyg3hv,徐立,Q45484013,5,pending,2026-01-01T11:30:27.729Z,商汤科技联合创始人兼CEO，香港中文大学计算机科学博士
cmjv6furu000lmfghb5zze4nm,David Ha,Q472547,5,ready,2026-01-01T08:22:23.370Z,Harvard Law SchoolStudent
cmjvfc7q50004lqwq80uz63rc,张鹏,Q45409233,5,pending,2026-01-01T12:31:30.078Z,智谱AI CEO，清华大学计算机系博士。主导研发了GLM系列大模型，致力于让机器像人一样思考。
cmjtxd9gj00095p08xgbzoqfe,迈克·施罗普费尔,Q6848733,5,ready,2025-12-31T11:20:39.716Z,美国商人
cmjv6furu0001mfghj75syorm,Boris Power,BAIKE_Boris Power,5,pending,2026-01-01T08:22:23.370Z,OpenAI专家/研究员
cmjv6furu0009mfghtf6a48k2,Bob McGrew,BAIKE_Bob McGrew,5,pending,2026-01-01T08:22:23.370Z,OpenAIChief Research Officer
cmjyediag0000ot7iy9zzy6ma,Jaana Dogan,,5,ready,2026-01-03T14:27:49.337Z,"Google Principal Engineer working on Gemini API. Former Google Compute Engine, Spanner engineer. Known Go language contributor."
cmjtv2wsq000di004ow7cjz59,Jan Leike,Q123130693,5,ready,2025-12-31T10:16:37.514Z,人工智能安全研究员
cmjv6furu000fmfgh7ck5ol2j,Matthew Berman,Q102443377,5,ready,2026-01-01T08:22:23.370Z,Yale UniversityStudent
cmjtv30df000ei004hqk0pamw,John Schulman,Q103236782,5,ready,2025-12-31T10:16:42.148Z,美国计算机科学家
cmjtv2m92000ai004uqyjwba1,Dylan Field,Q108871755,5,ready,2025-12-31T10:16:23.847Z,美国企业家
cmjtxcjfw00045p08hrhp2m4t,汤姆·布朗,Q114052496,5,pending,2025-12-31T11:20:05.996Z,数据科学家
cmjv6furu000jmfghn1ukel4f,Richard Ngo,Q48319971,5,pending,2026-01-01T08:22:23.370Z,IndependentAI Safety Researcher
cmjv6furu0000mfghokgjj8y8,Joanne Jang,BAIKE_Joanne Jang,5,pending,2026-01-01T08:22:23.370Z,斯坦福大学计算机科学硕士
cmjv6furu000hmfgh0d1egfwg,Eliezer Yudkowsky,Q704195,5,ready,2026-01-01T08:22:23.370Z,Machine Intelligence Research InstituteEmployee
cmjtwkwvi000copf3rlb2nlrz,周明,Q45507791,5,pending,2025-12-31T10:58:37.038Z,创新工场、澜舟科技
cmjv6furu000imfghhcj4mp17,Rob Bensinger,BAIKE_Rob Bensinger,5,pending,2026-01-01T08:22:23.370Z,Machine Intelligence Research InstituteAuthor
